LA_name,overall,16_24
Aberdeen City,8841,4482
Aberdeenshire,10806,5929
Angus,8429,3746
Argyll and Bute,4461,1828
City of Edinburgh,20869,7564
Clackmannanshire,3461,1740
Dumfries and Galloway,7556,3092
Dundee City,11347,4415
East Ayrshire,7559,3794
East Dunbartonshire,3696,1984
East Lothian,4065,1686
East Renfrewshire,3321,1689
Falkirk,10885,5147
Fife,29060,9175
Glasgow City,46949,17399
Highland,10309,4475
Inverclyde,6335,2462
Midlothian,4870,1667
Moray,3473,1818
Na h-Eileanan Siar,2380,755
North Ayrshire,7935,4122
North Lanarkshire,18169,9437
Orkney Islands,3064,780
Perth and Kinross,6089,2304
Renfrewshire,10675,4763
Scottish Borders,4344,2060
Shetland Islands,3792,1050
South Ayrshire,6104,2820
South Lanarkshire,13425,7087
Stirling,4525,2325
West Dunbartonshire,5869,2477
West Lothian,9539,3918
